gene,Spearman_rho_with_oligo,Spearman_p
ABCA6,0.371734693877551,0.008539715909137035
CRLF1,-0.1063265306122449,0.4671421175738395
TNFRSF11B,-0.06479591836734692,0.6582520861839256
