"scheme","auc","mean_pred","min_pred","max_pred","brier","citl"
"1. RMA (manuscript)",0.653846153846154,8.91409283655881e-06,3.19762162326223e-06,4.69028645793364e-05,0.434774387603143,11.6656197450149
"2. fRMA (locked reference)",0.661538461538462,0.0014754668784616,0.000193757552685688,0.00826970198001907,0.433233890645916,6.71287007157032
"3. quantile-normalised to training",0.669230769230769,0.00835430522370215,0.00076114085393479,0.0476992637165178,0.426078569875188,5.13869196903128
