sample_group,condition,Oligodendrocyte_percentage,ABCA6_mean_expression,CRLF1_mean_expression
AD1_AD2,AD,64.59709379128138,0.0194274028629856,0.020961145194274
AD3_AD4,AD,79.65451055662189,0.1773493975903614,0.0269879518072289
AD5_AD6,AD,60.0,0.1875,0.016025641025641
Ct1_Ct2,ct,36.45276292335116,0.0342298288508557,0.0415647921760391
Ct3_Ct4,ct,47.02596122247782,0.0174703004891684,0.0314465408805031
Ct5_Ct6,ct,39.43602693602693,0.0117395944503735,0.0245464247598719
