"gene","protocol_rho","effect_d"
"A1BG",-0.111687673288565,-0.454244004009702
"A1BG-AS1",0.339214942631363,0.119968921093146
"A1CF",0.739807287225584,1.4988286792737
"A2M",-0.355731225296443,-0.540957866834168
"A2M-AS1",0.117588932806324,-0.264335687222524
"A2ML1",0.148221343873518,-0.134148748701059
"A2MP1",0.120553359683794,0.390243254812571
"A4GALT",0.67111442622067,1.27007622173331
"A4GNT",-0.160158200486571,-0.913293789059804
"AA06",0.448838413709279,0.554032368771377
"AAAS",0.11968354024796,-0.162976380384075
"AACS",-0.359772682097679,-0.626812947907682
"AACSP1",-0.234189723320158,-0.629740993624868
"AADAC",-0.0346192058568478,-0.859359190556193
"AADACL2",-0.257905138339921,-0.830988422030525
"AADACP1",-0.322787978141144,-0.877834984665459
"AADAT",0.091897233201581,0.0803882670104919
"AAGAB",-0.637351778656126,-2.00037175796215
"AAK1",0.732213438735178,2.16556860006683
"AAMDC",-0.624660261224541,-1.12961860925444
"AAMP",-0.860671936758893,-2.42306491246811
"AANAT",0.0494071146245059,0.419529893862287
"AAR2",-0.354743083003953,-0.644833339203682
"AARS1",-0.83695652173913,-2.35516528213516
"AARS2",0.0286632081891008,-0.0726475648964932
"AARSD1",-0.839920948616601,-2.3213460718433
"AASDH",0.778656126482213,3.34622989569379
"AASDHPPT",-0.776679841897233,-1.27942831599442
"AASS",0.758586630521892,1.34207480482163
"AATBC",0.312330130612271,0.369997893748927
"AATF",-0.570158102766798,-1.07085674056024
"AATK",0.303359683794466,0.547869661193157
"ABAT",0.312252964426877,1.33549809206296
"ABCA1",-0.099802371541502,0.375540278238731
"ABCA11P",-0.263833992094862,-0.345193586615737
"ABCA12",0.056379849538295,-0.722120247551186
"ABCA13",0.058300395256917,-0.31219221417951
"ABCA17P",-0.248085008809114,-0.640315186277273
"ABCA2",0.382789504760003,0.94145282312314
"ABCA3",-0.620212522022784,-2.35961144260019
"ABCA4",0.545454545454545,0.765783678433616
"ABCA5",-0.689399576272338,-1.91927423634878
"ABCA6",0.239367080495919,0.626647912497975
"ABCA7",0.279644268774704,0.00221364975010767
"ABCA8",-0.101778656126482,-0.00852761492333767
"ABCA9",0.796145317114507,2.4325123831414
"ABCB1",-0.33201581027668,-0.698283721505565
"ABCB10",-0.632411067193676,-1.47417194181153
"ABCB11",-0.0415122325497322,0.105134358877858
"ABCB4",0.205090196525463,-0.395981613067139
"ABCB5",0.555335968379447,1.43760862490997
"ABCB6",-0.438735177865613,-1.4000198941385
"ABCB7",-0.091897233201581,0.388835066393755
"ABCB8",0.159090909090909,0.308031426904281
"ABCB9",0.297010140028441,0.472393875298496
"ABCC1",-0.372529644268775,-0.614456317403705
"ABCC10",0.741106719367589,1.97577867252302
"ABCC11",0.684782608695652,1.29351889136067
"ABCC12",-0.25296442687747,-0.263889995118628
