gene,train_AD_mean,train_Control_mean,train_delta,train_AUC,test_AD_mean,test_Control_mean,test_delta,test_AUC,external_AD_mean,external_Control_mean,external_delta,external_AUC,train_external_direction_same
ABCA6,5.996829914614254,5.038156740296416,0.9586731743178376,0.7411764705882353,5.8957405136411145,5.746235861844172,0.14950465179694294,0.6666666666666667,5.706328585389646,5.198229503505211,0.5080990818844349,0.6692307692307692,True
CRLF1,8.48416357804038,7.738990262872316,0.7451733151680644,0.7490196078431373,8.198843805629364,7.828722693698438,0.370121111930926,0.5833333333333334,7.985820840931649,7.935173224992643,0.05064761593900613,0.5692307692307692,True
TNFRSF11B,5.893070218471667,5.165448369813356,0.7276218486583108,0.788235294117647,5.856468978171178,5.614149143545605,0.24231983462557327,0.6111111111111112,5.607441856829264,5.3339774569428595,0.2734643998864046,0.6307692307692307,True
