category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:30871285	4	23	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	1.98e-09	0.00078	(2019) Current Knowledge of IL-6 Cytokine Family Members in Acute and Chronic Kidney Disease.
PMID	PMID:24618404	4	25	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	2.68e-09	0.00098	(2014) Stuve-Wiedemann syndrome: LIFR and associated cytokines in clinical course and etiology.
PMID	PMID:33097691	4	29	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	4.6e-09	0.0014	(2020) The miR-30a-5pCLCF1 axis regulates sorafenib resistance and aerobic glycolysis in hepatocellular carcinoma.
PMID	PMID:27054527	3	3	9606	CNTF,CNTFR,CRLF1	CNTF,CNTFR,CRLF1	4.48e-09	0.0014	(2017) Corneal alterations in CrisponiCISS1 syndrome: A slit-lamp biomicroscopy and in vivo confocal microscopy corneal report.
PMID	PMID:26858303	4	28	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	4.05e-09	0.0014	(2016) Cytokine-Like Factor 1, an Essential Facilitator of Cardiotrophin-Like Cytokine:Ciliary Neurotrophic Factor Receptor alpha Signaling and sorLA-Mediated Turnover.
PMID	PMID:24073352	3	3	9606	CLCF1,CNTFR,CRLF1	CLCF1,CNTFR,CRLF1	4.48e-09	0.0014	(2013) Cold induced sweating syndrome with urinary system anomaly association.
PMID	PMID:23355913	3	3	9606	CLCF1,CNTFR,CRLF1	CLCF1,CNTFR,CRLF1	4.48e-09	0.0014	(2012) Role of cytokine receptor-like factor 1 in hepatic stellate cells and fibrosis.
PMID	PMID:21106488	5	103	9606	IL17RC,CLCF1,IL27,CNTF,CNTFR	IL17RC,CLCF1,IL27,CNTF,CNTFR	5.59e-09	0.0014	(2010) Evolutionary divergence and functions of the human interleukin (IL) gene family.
PMID	PMID:19098279	3	3	9606	CNTF,CNTFR,CRLF1	CNTF,CNTFR,CRLF1	4.48e-09	0.0014	(2009) Neonatal death in mice lacking cardiotrophin-like cytokine is associated with multifocal neuronal hypoplasia.
PMID	PMID:14523086	3	3	9606	CNTF,CNTFR,CRLF1	CNTF,CNTFR,CRLF1	4.48e-09	0.0014	(2003) Cardiotrophin-like cytokinecytokine-like factor 1 is an essential trophic factor for lumbar and facial motoneurons in vivo.
