category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:30578761	3	12	9606	CLCF1,CNTF,CNTFR	CLCF1,CNTF,CNTFR	1.01e-07	0.0107	(2019) Leukemia inhibitory factor signaling in Xenopus embryo: Insights from gain of function analysis and dominant negative mutant of the receptor.
PMID	PMID:35530960	3	13	9606	CLCF1,CNTFR,CRLF1	CLCF1,CNTFR,CRLF1	1.25e-07	0.0128	(2022) CLCF1 is up-regulated in renal ischemia reperfusion injury and may associate with FOXO3.
PMID	PMID:33238634	3	13	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	1.25e-07	0.0128	(2020) 5 Untranslated Region Elements Show High Abundance and Great Variability in Homologous ABCA Subfamily Genes.
PMID	PMID:28677036	3	13	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	1.25e-07	0.0128	(2017) DeltaNp73 regulates the expression of the multidrug-resistance genes ABCB1 and ABCB5 in breast cancer and melanoma cells - a short report.
PMID	PMID:21164505	3	14	9606	CLCF1,CNTF,CNTFR	CLCF1,CNTF,CNTFR	1.52e-07	0.0147	(2011) Gp130 cytokines exert differential patterns of crosstalk in adipocytes both in vitro and in vivo.
PMID	PMID:17563726	3	14	9606	CNTF,CNTFR,CRLF1	CNTF,CNTFR,CRLF1	1.52e-07	0.0147	(2007) Expression of ciliary neurotrophic factor (CNTF) and its tripartite receptor complex by cells of the human optic nerve head.
PMID	PMID:15249728	3	14	9606	CLCF1,CNTF,CNTFR	CLCF1,CNTF,CNTFR	1.52e-07	0.0147	(2004) Comparative study of gp130 cytokine effects on corticotroph AtT-20 cells--redundancy or specificity of neuroimmunoendocrine modulators?
PMID	PMID:30925591	3	15	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	1.82e-07	0.0167	(2019) A harlequin ichthyosis pig model with a novel ABCA12 mutation can be rescued by acitretin treatment.
PMID	PMID:34638622	3	16	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	2.16e-07	0.0192	(2021) Structure-Based Understanding of ABCA3 Variants.
PMID	PMID:31156640	4	80	9606	CLCF1,IL27,CNTF,CNTFR	CLCF1,IL27,CNTF,CNTFR	2.13e-07	0.0192	(2019) Coordination of Immune-Stroma Crosstalk by IL-6 Family Cytokines.
PMID	PMID:32530750	3	17	9606	CLCF1,CNTF,CNTFR	CLCF1,CNTF,CNTFR	2.54e-07	0.0221	(2020) Different roles of interleukin 6 and interleukin 11 in the liver: implications for therapy.
PMID	PMID:30611276	3	17	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	2.54e-07	0.0221	(2019) Abcc6 deficiency in mice leads to altered ABC transporter gene expression in metabolic active tissues.
PMID	PMID:25540807	3	17	9606	CLCF1,CNTF,CRLF1	CLCF1,CNTF,CRLF1	2.54e-07	0.0221	(2014) Unusual Stuve-Wiedemann syndrome with complete maternal chromosome 5 isodisomy.
