gene,train_mean,train_sd,train_median,train_min,train_max,external_mean,external_sd,external_median,external_min,external_max,train_AD_mean,train_Control_mean,external_AD_mean,external_Control_mean
ABCA6,5.331628120189632,0.9789144551661697,5.00601244785185,3.76982629174343,8.06070397541067,2.5545330663253982,0.16000938223841943,2.5247103954333183,2.2852850042443347,3.0410992477286025,5.996829914614254,5.038156740296416,2.613077079304697,2.5094992101874762
CRLF1,7.967104543025806,0.780098944389318,7.76936933308033,6.47333961346957,10.2667701367548,3.4614603138287614,0.5948192695803584,3.2815097358605443,2.8774263373366145,5.518863847039332,8.48416357804038,7.738990262872316,3.516361834498776,3.4192283748518286
TNFRSF11B,5.388189752055697,0.6800574290133328,5.31199099894983,4.25793676925283,7.717692243557,2.3572367559863134,0.2191662403581234,2.351315683908087,1.8897006304737536,2.883568125009416,5.893070218471667,5.165448369813356,2.411499006224249,2.3154965634955933
PLA2G7,4.907885497249072,0.4151523153122322,4.95455214324645,3.98526145499036,5.85021054137135,2.605710544053255,0.3443535644140559,2.5281564464769435,2.1125914549692517,3.333425832813653,5.078685466490329,4.832532569642635,2.7491157922504597,2.4953988146707897
SORBS1,11.159219495890836,0.41838015161212305,11.1318039637438,10.2360778516273,12.0877880873178,8.570100705870079,0.5983415359832505,8.653051945850573,7.499300715563518,9.977785610638886,11.500404003068093,11.008696919194987,8.132323747539218,8.906852212278435
PMS2P2,7.310773884332587,0.46334465306707545,7.41709871071791,6.38130550137805,8.02408847152968,3.069723374813299,0.18979401895750928,3.0290419694869324,2.762479091273577,3.4165063285103443,6.985138028751828,7.454436761794688,3.1370397854136565,3.0179415205053313
TAB2,9.156897778380099,0.5460743906474335,9.19260496133379,7.5099798117046,10.1407623638701,5.761759742292988,0.5568262384579463,5.780205427365439,4.40605283224632,7.024334430082717,9.561145463696233,8.978553211328865,5.789999489049713,5.740036860172433
