cell_type,AD_mean,Control_mean,AD_median,Control_median,AUC,Mann_Whitney_U,Mann_Whitney_p,Spearman_rho,Spearman_p
oligodendrocyte,0.1440566584447197,-0.06355440813737735,0.012512815614913098,0.029963457257184814,0.5490196078431373,280.0,0.5950864591680616,0.07827803638564369,0.592911010000732
astrocyte,0.48118361405131604,-0.21228688855205088,0.48506395794741186,-0.005582437314306822,0.7627450980392158,389.0,0.0037792637180565827,0.41957027502705013,0.0026909687159784586
microglia,0.06886022083279181,-0.03037950919093569,0.28165772735505046,-0.010317879605506185,0.5509803921568628,281.0,0.5801451811211439,0.08140915784106943,0.5781580332294788
neuron,-0.638071506515074,0.2815021352272391,-0.38118687499386006,0.5068170881558136,0.24705882352941178,126.0,0.005310721185535217,-0.40391466774992146,0.004000096153872984
endothelial,0.21152040838110162,-0.09331782722695675,0.06336988788328242,-0.12042352462517959,0.6196078431372549,316.0,0.18937533640865478,0.1909984087809706,0.1886395442744696
OPC,0.13296166145334895,-0.05865955652353706,-0.008064702091298037,0.03194167175904793,0.5509803921568628,281.0,0.5801451811211439,0.08140915784106943,0.5781580332294788
