gene,coefficient
ABCA6,0.29390750429917784
CRLF1,0.22822095508701168
TNFRSF11B,0.03391433826494927
PLA2G7,0.05330412413574402
SORBS1,0.43058959550521214
PMS2P2,-0.3084503514350423
TAB2,0.4239849162408377
