analysis,raw_AUC,harmonized_AUC,AUC_difference
3-gene_model,0.6615384615384615,0.6846153846153846,0.023076923076923106
ABCA6,0.6615384615384615,0.6692307692307692,0.007692307692307665
CRLF1,0.5692307692307692,0.5692307692307692,0.0
TNFRSF11B,0.6423076923076924,0.6307692307692307,-0.011538461538461608
