Neighbor,Seed_count,Mean_score,Max_score
CLCF1,1,0.999,0.999
IL27,1,0.982,0.982
CNTFR,1,0.87,0.87
CNTF,1,0.856,0.856
REX1BD,1,0.829,0.829
ABCA9,1,0.79,0.79
TNFRSF11A,1,0.762,0.762
ABCA8,1,0.683,0.683
IL17RC,1,0.623,0.623
IL12A,1,0.461,0.461
