gene,coefficient,abs_coefficient
SORBS1,0.43058959550521214,0.43058959550521214
TAB2,0.4239849162408377,0.4239849162408377
PMS2P2,-0.3084503514350423,0.3084503514350423
ABCA6,0.29390750429917784,0.29390750429917784
CRLF1,0.22822095508701168,0.22822095508701168
PLA2G7,0.05330412413574402,0.05330412413574402
TNFRSF11B,0.03391433826494927,0.03391433826494927
