gene,cohort,d,lo,hi
ABCA6,discovery,0.9897497055628162,0.37951469441417185,1.8415384769154493
ABCA6,transfer,0.626647912497978,-0.1736587102600425,1.2944011408711749
CRLF1,discovery,0.9688860739159486,0.433283512980489,1.601626117361848
CRLF1,transfer,0.12958822042346435,-0.605838142022901,1.1685330189112146
TNFRSF11B,discovery,1.0877780227576985,0.4771609545328246,1.9179108060173597
TNFRSF11B,transfer,0.38948484646653164,-0.39231168781815473,1.4383031303035025
