split,group,n,age_mean,age_sd,age_median,age_min,age_max,pct_male
train,AD,15,82.46666666666667,9.014802641581603,85.0,60.0,94.0,46.666666666666664
train,Control,34,62.529411764705884,24.18769445978383,69.0,20.0,96.0,52.94117647058824
test,AD,4,85.25,6.601767440112787,87.5,76.0,90.0,50.0
test,Control,9,62.333333333333336,31.164884084494844,70.0,20.0,99.0,55.55555555555556
external,AD,10,77.8,5.711586664161039,77.5,70.0,88.0,
external,Control,13,79.61538461538461,9.403354556916213,79.0,63.0,102.0,
