Signature,N_genes,Training_ROC_AUC,Test_ROC_AUC,External_ROC_AUC,Training_PR_AUC,Test_PR_AUC,External_PR_AUC
ABCA6,1,0.7411764705882353,0.6666666666666667,0.6615384615384615,0.6720738033168635,0.4583333333333333,0.6359209744503862
CRLF1,1,0.7490196078431373,0.5833333333333334,0.5692307692307692,0.6314215987859398,0.5590659340659341,0.5310756634669678
TNFRSF11B,1,0.788235294117647,0.6111111111111112,0.6423076923076924,0.7278656707692152,0.4416666666666666,0.5703205128205128
ABCA6+CRLF1,2,0.8372549019607843,0.6111111111111112,0.6461538461538461,0.7848214340126104,0.5654761904761905,0.5964069264069264
ABCA6+TNFRSF11B,2,0.8529411764705883,0.6388888888888888,0.7307692307692308,0.8006242126480222,0.6071428571428571,0.6325860169242522
CRLF1+TNFRSF11B,2,0.8137254901960784,0.6388888888888888,0.6076923076923078,0.7700306926737133,0.6013257575757576,0.5743891780733886
ABCA6+CRLF1+TNFRSF11B,3,0.8549019607843137,0.6944444444444444,0.6615384615384615,0.8280996472663139,0.69375,0.6030002891844998
