iteration,AUC,AP,best_C,n_selected,selected_genes
26,0.9047619047619049,0.8055555555555556,1.0,30,SST;ARHGAP36;PTGER3;SMIM43;ZBBX;ABCA6;SSTR1;CRLF1;DIRAS3;CA12;TNFRSF11B;TMEM45A;NRXN3;HS3ST4;SYNC;INPP5F;SLC10A4;TMEM100;CLUL1;N4BP2;PMS2P2;ITPR2;DIAPH3;NFIA;GRHL1;C21orf62;ISG15;KCNJ8;COL6A1;SPIN4
27,0.8571428571428572,0.6388888888888888,1.0,29,SV2C;VEGFA;GRP;SSTR1;CALB2;CRLF1;ELAVL2;LINC00622;VSTM2A-OT1;SLC2A3;GSTT2;MPO;BEND4;MEST;ADAMTS3;N4BP2;MIR29B2CHG;TAB2;LOC100240735;IL17D;SNHG17;LOC105369477;PLA2G7;PMS2P2;ITPR2;DIAPH3;CD84;BTN3A3;LOC729218
28,0.7142857142857143,0.7777777777777777,0.5,14,SLC17A6;PKIB;CALB2;MAOB;WASIR2;TAB2;SORBS1;HMBOX1;PLA2G7;LPAR4;EMILIN2;CDKN2AIPNL;RBM48;DHCR7
29,0.5714285714285714,0.5694444444444444,0.2,16,NEFH;SYT13;PWWP3B;CRLF1;ELAVL2;TNFRSF11B;SNCB;CPEB3;MCHR1;CA10;SYNC;SGSM1;CLGN;PCDHB4;LTBP1;GRHL1
30,0.7777777777777778,0.8095238095238095,0.5,24,ARHGAP36;PTGER3;CKS2;ABCA6;VGLL3;CRLF1;GCH1;TNFRSF11B;MAOB;MEST;PCOLCE2;WBP2NL;LOC105369477;FGD6;PLA2G7;PCDHB4;LRRC4B;PMS2P2;DIAPH3;LOXL2;CNTNAP3;CDKN2AIPNL;CHRNA7;MIDEAS-AS1
31,1.0,1.0,0.5,19,ARHGAP36;EFEMP1;SSTR1;TNFRSF11B;MAOB;EID2B;WASIR2;PCOLCE2;N4BP2;MIR29B2CHG;TAB2;PLA2G7;TMEM160;SLC6A13;PMS2P2;ITPR2;LOXL2;PODXL2;PPP1R37
32,0.8571428571428572,0.6388888888888888,1.0,32,SLC17A6;KISS1R;SMIM43;VEGFA;ABCA6;EFEMP1;TH;PWWP3B;CALB2;CRLF1;ELAVL2;TNFRSF11B;VSTM2A-OT1;GSTT2;MPO;SYNC;INPP5F;SLC10A4;SNCG;N4BP2;LOC100240735;PLA2G7;HES4;PMS2P2;ITPR2;DIAPH3;ESYT3;LOXL2;CD84;HIC1;BTN3A3;FGFR1
33,0.6190476190476191,0.6555555555555554,0.2,16,NEFH;CALB2;TNFRSF11B;MCHR1;MAP7D2;MEST;ADARB1;INPP5F;SNCG;SORBS1;SCN7A;BGN;PMS2P2;ITPR2;PANK1;ABCG4
34,0.5714285714285714,0.5777777777777777,0.2,13,SMIM43;ABCA6;GAP43;CRLF1;TNFRSF11B;CA10;EID2B;SERPINI2;INPP5F;COL27A1;TAB2;LPAR4;DNAJC6
35,0.7222222222222222,0.7916666666666666,0.5,21,PTGER3;ABCA6;ANGPT1;MAOB;INSM1;MAP3K2-DT;SLC10A4;LINC02712;CCDC170;LOC105369477;COCH;PLA2G7;PCDHB4;RBM43;PMS2P2;DIAPH3;LOXL2;CSGALNACT1;CNTNAP3;PANK1;ADAMTS19
36,0.9523809523809524,0.9166666666666665,0.2,15,ABCA6;SSTR1;CALB2;TNFRSF11B;SYNC;TAB2;SORBS1;SCN7A;FGD6;PMS2P2;ITPR2;LOXL2;GRHL1;DPYSL4;ANKRD39
37,0.8095238095238095,0.7222222222222222,0.5,24,SLC17A6;SV2C;PTGER3;LAMP5;ABCA6;CRLF1;EID2B;HSFY1;RTCA;TAB2;TFR2;PLA2G7;PNISR;PCDHB4;ANKRD12;PMS2P2;A2M-AS1;KCNK12;DIAPH3;SDHAF4;FOXO1;PTPRE;PANK1;BTN3A3
38,0.6190476190476191,0.6111111111111112,0.2,18,SMIM43;ABCA6;PWWP3B;ELAVL2;TNFRSF11B;L1CAM;DNM1;PPFIA4;SYNC;ADAMTS3;MIR29B2CHG;SORBS1;PCDHB4;ITPR2;CSGALNACT1;GRHL1;KLC2;TMED7
39,0.9047619047619049,0.8055555555555556,0.2,13,ANGPT1;PKIB;C1QTNF4;TNFRSF11B;SYNC;INPP5F;TAB2;SORBS1;PLA2G7;ITPR2;CD84;PANK1;CDKN2AIPNL
40,0.6666666666666667,0.4777777777777778,0.5,22,ARHGAP36;CRLF1;DIRAS3;TNFRSF11B;F13A1;RIPOR3;INSM1;TEX26;PCOLCE2;TMEM100;KCTD4;N4BP2;TAB2;SLC6A12;SORBS1;NEK11;ITPR2;DIAPH3;SDHAF4;GRHL1;EPB41L4A;KCNJ8
41,0.47619047619047616,0.3472222222222222,1.0,22,LTF;ABCA6;CRLF1;TTTY15;TMEM45A;MIR570HG;TDO2;EID2B;MAP3K2-DT;CHGA;HSFY1;TMEM100;CAMKK2;LOC105369477;RGMA;LPAR4;EGFEM1P;PMS2P2;ITPR2;FARSA;IL4I1;PIK3R3
42,0.9047619047619048,0.8666666666666667,0.2,10,SYT13;CRLF1;ELAVL2;TNFRSF11B;CA10;SYNC;ADARB1;INPP5F;TAB2;DIAPH3
43,0.9047619047619049,0.8055555555555556,1.0,25,SLC17A6;ABCA6;TH;ANGPT1;PKIB;LOC100505874;TNFRSF11B;TMEM45A;ADH1B;EID2B;KCTD4;N4BP2;MIR29B2CHG;SORBS1;HMBOX1;PLA2G7;PMS2P2;ITPR2;EPB41L4A;DDHD1;KCNJ8;PANK1;BTN3A3;RBM48;DHCR7
44,0.5714285714285714,0.5777777777777777,0.2,11,PTGER3;CRLF1;TNFRSF11B;NRXN3;SYNC;SORBS1;BGN;PMS2P2;SDHAF4;PLPP6;PANK1
45,0.888888888888889,0.8055555555555556,0.5,24,ARHGAP36;VEGFA;GRP;CUTALP;LOC100505874;TNFRSF11B;RSPH1;MAOB;INSM1;SYNC;PCOLCE2;N4BP2;MIR29B2CHG;TAB2;SORBS1;CCDC170;FGD6;PCDHB4;PMS2P2;EIF3C;ZFR2;LOXL2;SAMSN1;BTN3A3
46,0.8095238095238095,0.5888888888888889,0.5,23,PTGER3;KLRC2;ABCA6;CRLF1;GCH1;TNFRSF11B;TMEM45A;VAC14-AS1;SYNC;PCOLCE2;SLC10A4;TMEM100;CLUL1;KCTD4;N4BP2;SORBS1;FAM241A;RGMA;PMS2P2;DIAPH3;GRHL1;PGM5-AS1;FAM13A
47,0.7142857142857143,0.6428571428571428,1.0,28,LTF;NEFH;ABCA6;LOC100505874;PWWP3B;CRLF1;MIR570HG;FILIP1L;EID2B;MEST;NIPAL2;LINC02712;MET;HES1;VAMP1;MIR29B2CHG;COL12A1;EXPH5;ABLIM2;PCDHB4;PMS2P2;ITPR2;TRIM73;CYGB;GRHL1;LOC284412;FARSA;CNTNAP3
48,0.8571428571428572,0.6388888888888888,1.0,29,SLC17A6;SV2C;ABCA6;ANGPT1;PKIB;TMEM45A;EID2B;SERPINA5;RASSF3;HSFY1;TRIM13;CLUL1;N4BP2;KITLG;SORBS1;LOC100240735;PLA2G7;LPAR4;ITPR2;PAQR5;CD84;RBBP5;C21orf62;DDHD1;KCNJ8;PANK1;BTN3A3;LOC729218;RBM48
49,0.6666666666666666,0.625,0.5,25,VEGFA;CUTALP;SSTR1;CALB2;CRLF1;ELAVL2;TNFRSF11B;MCHR1;TRIM22;GSTT2;MAOB;INSM1;SYNC;VGF;UBE2S;TBC1D7;N4BP2;SORBS1;LOC105369477;COCH;PLA2G7;ITPR2;SAMSN1;ZNF117;CDKN2AIPNL
50,0.6666666666666666,0.6805555555555556,0.1,3,SYNC;TAB2;DIAPH3
51,0.8095238095238095,0.8095238095238095,0.2,7,CRLF1;VSTM2A-OT1;SYNC;INPP5F;TAB2;PLA2G7;DIAPH3
52,0.14285714285714285,0.24074074074074076,1.0,28,ZBBX;VEGFA;CUTALP;SSTR1;CALB2;CA12;TNFRSF11B;MAN2A1;TRIM22;CEMIP;GSTT2;MAOB;MAFB;MET;SORBS1;TFRC;RGMA;COCH;PLA2G7;HES4;PMS2P2;SAMSN1;CD84;BSG;AMD1;ISG15;ZNF273;MESP1
53,1.0,1.0,1.0,23,ARHGAP36;ZBBX;GRP;CRLF1;TNFRSF11B;ENOSF1;VSTM2A-OT1;MAOB;NOS3;WASIR2;PCOLCE2;N4BP2;MIR29B2CHG;TAB2;SORBS1;SCN7A;JAG1;PMS2P2;ITPR2;MAB21L2;UST;LOXL2;LOC729218
54,1.0,1.0,0.2,9,PTGER3;C1QTNF4;CRLF1;TNFRSF11B;TET3;ITPR2;PARP14;PANK1;CDKN2AIPNL
55,0.4444444444444444,0.4111111111111111,1.0,28,LTF;FCGR3B;PTGER3;SMIM43;ABCA6;ANGPT1;CRLF1;RASGRF2;FILIP1L;MAP3K2-DT;TRIM13;SORBS1;FAM241A;COL12A1;LOC105369477;LPAR4;PCDHB4;DPYSL3;GRHL1;DNAJC6;TUBG1;EXOC8;LOC284412;UBE2E2;PANK1;FRMD6;ITSN1;ATP5F1B
56,1.0,1.0,1.0,29,SV2C;ARHGAP36;PTGER3;ABCA6;EFEMP1;CRLF1;TNFRSF11B;MAN2A1;VSTM2A-OT1;MEST;HSFY1;MET;N4BP2;LOC100240735;COL12A1;RGMA;PLA2G7;C17orf75;PMS2P2;ITPR2;DIAPH3;SDHAF4;LOXL2;GRHL1;LRFN3;ISG15;TMEM63C;RPS6KA5;DHCR7
57,0.8095238095238095,0.8095238095238095,0.2,9,CALB2;TNFRSF11B;AFF2;SYNC;PCOLCE2;TAB2;LOC105369477;PMS2P2;MESP1
58,0.9047619047619048,0.8666666666666667,0.5,17,PTGER3;ABCA6;CRLF1;GCH1;TNFRSF11B;INSM1;SLCO1B3;FGD6;PLA2G7;PCDHB4;PMS2P2;DIAPH3;CSGALNACT1;ADGRD1;KCNJ8;PANK1;BTN3A3
