gene,training_mean,harmonized_mean,mean_difference,training_median,harmonized_median,median_difference
ABCA6,5.428832031454005,5.419142147802791,-0.009689883651213371,5.23510892602932,5.23510892602932,0.0
CRLF1,7.96407017837736,7.957193927574821,-0.0068762508025397295,7.91692648698954,7.91692648698954,0.0
TNFRSF11B,5.454222219932609,5.45287502211086,-0.0013471978217483027,5.515266042846295,5.515266042846295,0.0
