gene,selection_count,selection_frequency
MIDEAS-AS1,2,0.008
SLC6A13,2,0.008
ESYT3,2,0.008
MAP7D2,2,0.008
COL27A1,2,0.008
RBM43,2,0.008
TFR2,2,0.008
FOXO1,2,0.008
L1CAM,2,0.008
KLC2,2,0.008
TTTY15,2,0.008
TDO2,2,0.008
EGFEM1P,2,0.008
RSPH1,2,0.008
ZFR2,2,0.008
PAQR5,2,0.008
FRMD6,2,0.008
ITSN1,2,0.008
LRFN3,2,0.008
ATP2B3,2,0.008
DDX3Y,2,0.008
NQO2,2,0.008
NRP2,2,0.008
KCNQ5,2,0.008
KCNA1,2,0.008
SLN,2,0.008
FSD1,2,0.008
SLC16A6,2,0.008
HERC2P7,2,0.008
KDM5D,2,0.008
RPS4Y1,2,0.008
CNTN4,2,0.008
CDHR1,2,0.008
ANKRD30BP2,2,0.008
CASC3,2,0.008
CAV1,2,0.008
SOX18,2,0.008
ITIH2,2,0.008
ATP5IF1,2,0.008
GNMT,2,0.008
PET117,2,0.008
PPM1H,2,0.008
OXTR,2,0.008
ART3,2,0.008
SEMA3C,2,0.008
DUSP1,2,0.008
RGR,2,0.008
PGBD4,2,0.008
EPCAM,2,0.008
LOC497256,2,0.008
ADRA2A,2,0.008
PPARGC1B,2,0.008
HECW2,2,0.008
LDLR,2,0.008
COLEC12,2,0.008
SLC32A1,2,0.008
CALB1,2,0.008
ZNF33B,2,0.008
THBS1,1,0.004
KLF3-AS1,1,0.004
MAP1A,1,0.004
MAPK8IP2,1,0.004
ITPRID2,1,0.004
PEG3,1,0.004
MLC1,1,0.004
GBP3,1,0.004
RELN,1,0.004
BBOF1,1,0.004
PEX6,1,0.004
MYH11,1,0.004
GALNT12,1,0.004
CEP78,1,0.004
SGSM1,1,0.004
TMEM160,1,0.004
HIC1,1,0.004
LAMP5,1,0.004
RTCA,1,0.004
KCNK12,1,0.004
DNM1,1,0.004
TMED7,1,0.004
IL4I1,1,0.004
PLPP6,1,0.004
HES1,1,0.004
ABLIM2,1,0.004
SERPINA5,1,0.004
RASSF3,1,0.004
VGF,1,0.004
MAFB,1,0.004
ZNF273,1,0.004
JAG1,1,0.004
FCGR3B,1,0.004
UBE2E2,1,0.004
ATP5F1B,1,0.004
SLCO1B3,1,0.004
KCNK1,1,0.004
CGNL1,1,0.004
SERPINB9,1,0.004
TTC39A,1,0.004
CD69,1,0.004
TTN,1,0.004
LOC105377223,1,0.004
CARTPT,1,0.004
OLFM3,1,0.004
SLC39A10,1,0.004
NCKAP5,1,0.004
DGKB,1,0.004
HSPH1,1,0.004
PAX6,1,0.004
PARD6G-AS1,1,0.004
MIF,1,0.004
GALNTL5,1,0.004
HLA-DRA,1,0.004
HLA-DPA1,1,0.004
LOC389906,1,0.004
CYTL1,1,0.004
CYP39A1,1,0.004
IL1RL1,1,0.004
MTHFD2,1,0.004
TNFRSF6B,1,0.004
ZSWIM7,1,0.004
BDNF-AS,1,0.004
PDYN,1,0.004
TSIX,1,0.004
CD99,1,0.004
CNGA3,1,0.004
NLK,1,0.004
NBR2,1,0.004
MROCKI,1,0.004
KCNK9,1,0.004
WIF1,1,0.004
RGS12,1,0.004
KAZN,1,0.004
HIGD1B,1,0.004
COBL,1,0.004
SOX7,1,0.004
KLF6,1,0.004
SBSPON,1,0.004
IL1B,1,0.004
DHCR24,1,0.004
DNAH11,1,0.004
CFAP107,1,0.004
CIMAP3,1,0.004
LRRC18,1,0.004
MAGEL2,1,0.004
PMP2,1,0.004
SLC24A4,1,0.004
LRRC8B,1,0.004
DCTN1-AS1,1,0.004
GNLY,1,0.004
AP1AR,1,0.004
LIPT1,1,0.004
CYP26B1,1,0.004
MEIS3P1,1,0.004
MS4A6A,1,0.004
SLC6A17,1,0.004
PPP1CB,1,0.004
SGMS2,1,0.004
GNL3L,1,0.004
ANOS1,1,0.004
ID2,1,0.004
BTNL9,1,0.004
PAQR9,1,0.004
BTN3A2,1,0.004
SGPP2,1,0.004
CCN1,1,0.004
GPLD1,1,0.004
CMTM8,1,0.004
B3GLCT,1,0.004
PPAT,1,0.004
LINC02192,1,0.004
NNMT,1,0.004
LCNL1,1,0.004
C1orf87,1,0.004
ZNF649,1,0.004
APOC1,1,0.004
NDN,1,0.004
CLCN4,1,0.004
BDH2,1,0.004
CTSO,1,0.004
PLD4,1,0.004
ZNF43,1,0.004
NWD2,1,0.004
LEPR,1,0.004
PHKG1,1,0.004
TAS2R45,1,0.004
TM4SF18,1,0.004
GRAMD2B,1,0.004
CORO2A,1,0.004
RBM6,1,0.004
IQCK,1,0.004
ALOX15B,1,0.004
FAM110B,1,0.004
NKTR,1,0.004
CA4,1,0.004
ACER2,1,0.004
HYAL1,1,0.004
DOCK1,1,0.004
ZDHHC11,1,0.004
TTTY10,1,0.004
FKBP11,1,0.004
NPTXR,1,0.004
FAM153B,1,0.004
KCNE4,1,0.004
BMP2,1,0.004
CC2D2A,1,0.004
NEFL,1,0.004
SOX21-AS1,1,0.004
KLK11,1,0.004
CCK,1,0.004
HSD17B6,1,0.004
MS4A7,1,0.004
ARX,1,0.004
PENK,1,0.004
CYP11B2,1,0.004
ATP6V1E1,1,0.004
RPP40,1,0.004
CCNO,1,0.004
GSTT1,1,0.004
PNISR-AS1,1,0.004
EMB,1,0.004
UNC5D,1,0.004
LINC02984,1,0.004
ICAM3,1,0.004
YBEY,1,0.004
TAC1,1,0.004
TMEFF1,1,0.004
