gene,training_mean_log2,external_mean_log2,mean_shift_log2_external_minus_training,training_SD,external_SD,external_to_training_SD_ratio,external_mean_in_training_SD_units,locked_coefficient,logit_shift_contribution
ABCA6,5.331628120189632,2.5949118166646725,-2.7367163035249593,0.9789144551661697,0.15186132818652273,0.15513237891736356,-2.7956644107992097,0.475,-1.3279405951296246
CRLF1,7.967104543025806,3.5973819933652544,-4.369722549660551,0.780098944389318,0.5569855378102522,0.7139934514925861,-5.601497837022821,0.38,-2.128569178068672
TNFRSF11B,5.388189752055697,2.5525041642421806,-2.8356855878135168,0.6800574290133328,0.16051676220685612,0.2360341279408465,-4.169773708564136,0.439,-1.8305306580596559
