split,n,pearson_r,pearson_p,spearman_rho,spearman_p
train,49,-3.0574501264091225e-16,0.9999999999999988,-0.01475958955667131,0.9198240310394048
test,13,0.027134342128787077,0.9298836495901739,0.06060629057822995,0.8440781207325346
external,23,-0.6198351685299939,0.0016070652179380684,-0.503591247742952,0.01429315307410883
