submission_date,metadata_field,metadata_value,n
Oct 19 2007,!Sample_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238948/suppl/GSM238948.CHP.gz,1
Oct 19 2007,!Sample_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238949/suppl/GSM238949.CHP.gz,1
Oct 19 2007,!Sample_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238951/suppl/GSM238951.CHP.gz,1
Oct 19 2007,!Sample_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238952/suppl/GSM238952.CHP.gz,1
Oct 19 2007,!Sample_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238953/suppl/GSM238953.CHP.gz,1
Oct 19 2007,!Sample_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238955/suppl/GSM238955.CHP.gz,1
Oct 19 2007,!Sample_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238963/suppl/GSM238963.CHP.gz,1
Jul 10 2006,!Sample_relation,Reanalyzed by: GSE133349,74
Oct 19 2007,!Sample_relation,Reanalyzed by: GSE133349,87
Jul 10 2006,!Sample_series_id,GSE5281,74
Oct 19 2007,!Sample_series_id,GSE5281,87
