gene,train_AD_mean,train_Control_mean,train_delta_AD_minus_Control,train_direction,train_AUC,external_AD_mean,external_Control_mean,external_delta_AD_minus_Control,external_direction,external_AUC,direction_same
ABCA6,5.996829914614254,5.038156740296416,0.9586731743178376,UP,0.7411764705882353,2.613077079304697,2.5094992101874762,0.10357786911722089,UP,0.6538461538461539,True
CRLF1,8.48416357804038,7.738990262872316,0.7451733151680644,UP,0.7490196078431373,3.516361834498776,3.4192283748518286,0.09713345964694753,UP,0.6384615384615385,True
TNFRSF11B,5.893070218471667,5.165448369813356,0.7276218486583108,UP,0.788235294117647,2.411499006224249,2.3154965634955933,0.09600244272865588,UP,0.6807692307692307,True
PLA2G7,5.078685466490329,4.832532569642635,0.24615289684769426,UP,0.6549019607843137,2.7491157922504597,2.4953988146707897,0.25371697757966993,UP,0.6692307692307692,True
SORBS1,11.500404003068093,11.008696919194987,0.4917070838731057,UP,0.8313725490196078,8.132323747539218,8.906852212278435,-0.7745284647392179,DOWN,0.09230769230769231,False
PMS2P2,6.985138028751828,7.454436761794688,-0.4692987330428604,DOWN,0.1843137254901961,3.1370397854136565,3.0179415205053313,0.1190982649083252,UP,0.6615384615384615,False
TAB2,9.561145463696233,8.978553211328865,0.5825922523673679,UP,0.8549019607843138,5.789999489049713,5.740036860172433,0.04996262887727987,UP,0.4923076923076923,True
