Dataset,Comparison,AUC_better_model,AUC_full_model,Observed_Delta_AUC,Bootstrap_N,Delta_AUC_CI_lower,Delta_AUC_CI_upper,Probability_Delta_gt_0
GSE48350_HeldOut_Test,ABCA6+TNFRSF11B_vs_ABCA6+CRLF1+TNFRSF11B,0.6388888888888888,0.6944444444444444,-0.0555555555555555,9923,-0.3333333333333333,0.2222222222222223,0.2686687493701502
GSE5281_External,ABCA6+TNFRSF11B_vs_ABCA6+CRLF1+TNFRSF11B,0.7307692307692308,0.6615384615384615,0.0692307692307693,10000,-0.1587301587301587,0.2777777777777778,0.7357
