Dataset,N,AD,Threshold,ROC_AUC,PR_AUC,Sensitivity,Specificity,PPV,NPV,TP,TN,FP,FN,max_prob
GSE48350_Training,49,15,0.3296990886390392,0.8549019607843137,0.8280996472663139,0.8,0.6764705882352942,0.5217391304347826,0.8846153846153846,12,23,11,3,0.9234613027025494
GSE48350_HeldOut_Test,13,4,0.3296990886390392,0.6944444444444444,0.69375,1.0,0.2222222222222222,0.36363636363636365,1.0,4,2,7,0,0.7497894074404897
GSE5281_External,23,10,0.3296990886390392,0.6615384615384615,0.6030002891844998,0.0,1.0,,0.5652173913043478,0,13,0,10,0.006757567252286325
